id,subject,key,datetime,ip,Temperature,Pressure,Humidity,VoC,CO2,Altitude
239385,SPXEGN1TGSB2IKT9 | 1733150392,SPXEGN1TGSB2IKT9,2024-12-02 23:39:52,210.99.114.165,28.20,1015.60,22.47,335.27,15103.47,-19.55
239436,SPXEGN1TGSB2IKT9 | 1733150959,SPXEGN1TGSB2IKT9,2024-12-02 23:49:19,210.99.114.165,28.17,1015.58,22.40,338.73,15442.72,-19.30
239491,SPXEGN1TGSB2IKT9 | 1733151563,SPXEGN1TGSB2IKT9,2024-12-02 23:59:23,210.99.114.165,28.14,1015.58,22.18,344.06,15972.36,-19.55
239547,SPXEGN1TGSB2IKT9 | 1733152177,SPXEGN1TGSB2IKT9,2024-12-03 00:09:37,210.99.114.165,28.08,1015.63,22.11,346.61,16228.46,-19.80
239603,SPXEGN1TGSB2IKT9 | 1733152789,SPXEGN1TGSB2IKT9,2024-12-03 00:19:49,210.99.114.165,28.01,1015.62,22.04,348.45,16415.00,-19.88
239655,SPXEGN1TGSB2IKT9 | 1733153359,SPXEGN1TGSB2IKT9,2024-12-03 00:29:19,210.99.114.165,27.97,1015.72,21.93,352.57,16836.52,-20.63
239710,SPXEGN1TGSB2IKT9 | 1733153959,SPXEGN1TGSB2IKT9,2024-12-03 00:39:19,210.99.114.165,27.95,1015.75,21.85,356.01,17193.04,-20.88
239764,SPXEGN1TGSB2IKT9 | 1733154557,SPXEGN1TGSB2IKT9,2024-12-03 00:49:17,210.99.114.165,27.91,1015.85,21.80,358.34,17436.69,-21.54
239817,SPXEGN1TGSB2IKT9 | 1733155170,SPXEGN1TGSB2IKT9,2024-12-03 00:59:30,210.99.114.165,27.88,1015.79,21.66,359.91,17602.03,-21.38
239873,SPXEGN1TGSB2IKT9 | 1733155789,SPXEGN1TGSB2IKT9,2024-12-03 01:09:49,210.99.114.165,27.83,1015.94,21.60,362.70,17896.71,-22.46
