id,subject,key,datetime,ip,Temperature,Pressure,Humidity,VoC,CO2,Altitude
342018,SPXEGN1TGSB2IKT9 | 1734312474,SPXEGN1TGSB2IKT9,2024-12-16 10:27:54,210.99.114.165,27.17,1017.94,13.26,562.73,45587.04,-38.97
341975,SPXEGN1TGSB2IKT9 | 1734311991,SPXEGN1TGSB2IKT9,2024-12-16 10:19:51,210.99.114.165,27.10,1017.95,13.30,570.92,46995.08,-39.06
341918,SPXEGN1TGSB2IKT9 | 1734311372,SPXEGN1TGSB2IKT9,2024-12-16 10:09:32,210.99.114.165,26.96,1017.94,13.35,572.88,47335.60,-39.06
341866,SPXEGN1TGSB2IKT9 | 1734310798,SPXEGN1TGSB2IKT9,2024-12-16 09:59:58,210.99.114.165,26.83,1017.94,13.36,579.85,48556.00,-38.97
341811,SPXEGN1TGSB2IKT9 | 1734310181,SPXEGN1TGSB2IKT9,2024-12-16 09:49:41,210.99.114.165,26.70,1017.98,13.40,585.97,49638.95,-39.39
341754,SPXEGN1TGSB2IKT9 | 1734309561,SPXEGN1TGSB2IKT9,2024-12-16 09:39:21,210.99.114.165,26.56,1017.97,13.40,588.04,50007.74,-39.22
341700,SPXEGN1TGSB2IKT9 | 1734308959,SPXEGN1TGSB2IKT9,2024-12-16 09:29:19,210.99.114.165,26.40,1017.96,13.44,596.45,51523.29,-39.14
341648,SPXEGN1TGSB2IKT9 | 1734308392,SPXEGN1TGSB2IKT9,2024-12-16 09:19:52,210.99.114.165,26.24,1017.91,13.50,599.67,52109.05,-38.81
341594,SPXEGN1TGSB2IKT9 | 1734307781,SPXEGN1TGSB2IKT9,2024-12-16 09:09:41,210.99.114.165,26.07,1017.84,13.54,602.38,52604.42,-38.31
341539,SPXEGN1TGSB2IKT9 | 1734307171,SPXEGN1TGSB2IKT9,2024-12-16 08:59:31,210.99.114.165,25.87,1017.90,13.59,608.98,53821.96,-38.73
341486,SPXEGN1TGSB2IKT9 | 1734306596,SPXEGN1TGSB2IKT9,2024-12-16 08:49:56,210.99.114.165,25.66,1017.87,13.64,618.58,55618.01,-38.39
341431,SPXEGN1TGSB2IKT9 | 1734305982,SPXEGN1TGSB2IKT9,2024-12-16 08:39:42,210.99.114.165,25.40,1017.82,13.76,620.31,55943.97,-37.98
341375,SPXEGN1TGSB2IKT9 | 1734305366,SPXEGN1TGSB2IKT9,2024-12-16 08:29:26,210.99.114.165,25.05,1017.84,13.99,626.72,57163.47,-38.23
341323,SPXEGN1TGSB2IKT9 | 1734304760,SPXEGN1TGSB2IKT9,2024-12-16 08:19:20,210.99.114.165,24.68,1017.72,13.85,635.68,58889.85,-37.23
341270,SPXEGN1TGSB2IKT9 | 1734304159,SPXEGN1TGSB2IKT9,2024-12-16 08:09:19,210.99.114.165,24.33,1017.55,13.74,630.87,57959.88,-35.66
341218,SPXEGN1TGSB2IKT9 | 1734303583,SPXEGN1TGSB2IKT9,2024-12-16 07:59:43,210.99.114.165,24.13,1017.48,14.48,633.27,58422.11,-35.24
341162,SPXEGN1TGSB2IKT9 | 1734302969,SPXEGN1TGSB2IKT9,2024-12-16 07:49:29,210.99.114.165,24.17,1017.47,15.31,646.78,61063.50,-35.08
341110,SPXEGN1TGSB2IKT9 | 1734302399,SPXEGN1TGSB2IKT9,2024-12-16 07:39:59,210.99.114.165,24.14,1017.31,12.95,662.20,64148.43,-33.83
341054,SPXEGN1TGSB2IKT9 | 1734301784,SPXEGN1TGSB2IKT9,2024-12-16 07:29:44,210.99.114.165,24.17,1017.32,12.83,660.23,63750.53,-33.83
340998,SPXEGN1TGSB2IKT9 | 1734301168,SPXEGN1TGSB2IKT9,2024-12-16 07:19:28,210.99.114.165,24.43,1017.26,12.86,644.91,60693.29,-33.33
340946,SPXEGN1TGSB2IKT9 | 1734300589,SPXEGN1TGSB2IKT9,2024-12-16 07:09:49,210.99.114.165,24.63,1017.25,13.16,633.27,58422.11,-33.25
340896,SPXEGN1TGSB2IKT9 | 1734299993,SPXEGN1TGSB2IKT9,2024-12-16 06:59:53,210.99.114.165,24.66,1017.21,13.73,635.08,58772.49,-33.00
340840,SPXEGN1TGSB2IKT9 | 1734299363,SPXEGN1TGSB2IKT9,2024-12-16 06:49:23,210.99.114.165,24.67,1017.18,12.90,629.68,57730.61,-32.75
340789,SPXEGN1TGSB2IKT9 | 1734298773,SPXEGN1TGSB2IKT9,2024-12-16 06:39:33,210.99.114.165,24.69,1017.08,12.91,627.31,57276.33,-31.76
340744,SPXEGN1TGSB2IKT9 | 1734298188,SPXEGN1TGSB2IKT9,2024-12-16 06:29:48,210.99.114.165,24.66,1016.99,12.88,622.63,56383.04,-31.26
340705,SPXEGN1TGSB2IKT9 | 1734297551,SPXEGN1TGSB2IKT9,2024-12-16 06:19:11,210.99.114.165,24.68,1016.81,12.72,636.90,59125.69,-29.76
340658,SPXEGN1TGSB2IKT9 | 1734296949,SPXEGN1TGSB2IKT9,2024-12-16 06:09:09,210.99.114.165,24.78,1016.70,12.64,631.47,58074.87,-28.68
340615,SPXEGN1TGSB2IKT9 | 1734296385,SPXEGN1TGSB2IKT9,2024-12-16 05:59:45,210.99.114.165,24.80,1016.85,12.83,629.68,57730.61,-30.01
340567,SPXEGN1TGSB2IKT9 | 1734295787,SPXEGN1TGSB2IKT9,2024-12-16 05:49:47,210.99.114.165,24.81,1016.93,12.87,631.47,58074.87,-30.51
340524,SPXEGN1TGSB2IKT9 | 1734295190,SPXEGN1TGSB2IKT9,2024-12-16 05:39:50,210.99.114.165,24.79,1017.03,12.88,633.87,58538.52,-31.42
340477,SPXEGN1TGSB2IKT9 | 1734294554,SPXEGN1TGSB2IKT9,2024-12-16 05:29:14,210.99.114.165,24.80,1016.95,12.88,641.80,60083.22,-30.84
340428,SPXEGN1TGSB2IKT9 | 1734293993,SPXEGN1TGSB2IKT9,2024-12-16 05:19:53,210.99.114.165,24.80,1016.93,12.87,639.34,59601.73,-30.68
340376,SPXEGN1TGSB2IKT9 | 1734293382,SPXEGN1TGSB2IKT9,2024-12-16 05:09:42,210.99.114.165,24.83,1017.00,12.86,638.73,59482.29,-31.17
340326,SPXEGN1TGSB2IKT9 | 1734292766,SPXEGN1TGSB2IKT9,2024-12-16 04:59:26,210.99.114.165,24.85,1017.01,12.84,636.90,59125.69,-31.26
340274,SPXEGN1TGSB2IKT9 | 1734292165,SPXEGN1TGSB2IKT9,2024-12-16 04:49:25,210.99.114.165,24.87,1016.89,12.83,632.67,58306.18,-30.26
340220,SPXEGN1TGSB2IKT9 | 1734291577,SPXEGN1TGSB2IKT9,2024-12-16 04:39:37,210.99.114.165,24.93,1016.88,12.80,626.72,57163.47,-30.18
340175,SPXEGN1TGSB2IKT9 | 1734290984,SPXEGN1TGSB2IKT9,2024-12-16 04:29:44,210.99.114.165,25.01,1016.76,12.78,618.01,55510.02,-29.35
340130,SPXEGN1TGSB2IKT9 | 1734290356,SPXEGN1TGSB2IKT9,2024-12-16 04:19:16,210.99.114.165,25.07,1016.88,12.78,620.31,55943.97,-30.18
340089,SPXEGN1TGSB2IKT9 | 1734289746,SPXEGN1TGSB2IKT9,2024-12-16 04:09:06,210.99.114.165,24.97,1017.00,12.83,629.68,57730.61,-31.17
340042,SPXEGN1TGSB2IKT9 | 1734289185,SPXEGN1TGSB2IKT9,2024-12-16 03:59:45,210.99.114.165,24.96,1017.11,12.82,625.55,56939.04,-32.09
339989,SPXEGN1TGSB2IKT9 | 1734288545,SPXEGN1TGSB2IKT9,2024-12-16 03:49:05,210.99.114.165,24.99,1017.14,12.84,618.58,55618.01,-32.42
